entropy_1,session_num,elapse_minute_rounded,half
2670.9566855523703,0.0,0,0.0
2670.9426667407456,0.0,0,0.0
2670.051138608267,0.0,0,0.0
2669.139491126004,0.0,1,0.0
2669.179808174483,0.0,1,0.0
2669.029627530525,0.0,1,0.0
2668.2082657597493,0.0,1,0.0
2666.9132516827394,0.0,2,0.0
2666.1023230976507,0.0,2,0.0
2665.2896227516485,0.0,2,0.0
2664.478692825631,0.0,3,0.0
2663.667763005331,0.0,3,0.0
2662.8568307051046,0.0,3,0.0
2661.583639213019,0.0,3,0.0
2660.772709006235,0.0,4,0.0
2659.9617790308707,0.0,4,0.0
2658.575568800039,0.0,4,0.0
2657.4769568673883,0.0,4,0.0
2656.666026802546,0.0,4,0.0
2655.85234542789,0.0,4,1.0
2657.118354152677,0.0,5,1.0
2656.019742077184,0.0,5,1.0
2654.633484063035,0.0,5,1.0
2652.3346961567786,0.0,7,1.0
2652.6521389247973,0.0,7,1.0
2651.5846303608523,0.0,7,1.0
2650.370203795388,0.0,8,1.0
2648.98393548318,0.0,8,1.0
2647.885333860252,0.0,9,1.0
2646.5708663356227,0.0,9,1.0
2645.1952706179836,0.0,9,1.0
2646.4001200282137,0.0,9,1.0
2645.9254223458884,0.0,10,1.0
2648.000917594706,0.0,10,1.0
2647.9166298615537,0.0,12,1.0
2650.017569071546,0.0,12,1.0
2648.7580229415407,0.0,12,1.0
2649.9982998738587,0.0,13,1.0
2648.982217180078,0.0,13,1.0
2647.1336388547334,0.0,13,1.0
2646.3105963505204,0.0,13,1.0
2645.177010404959,0.0,14,1.0
2645.301530568472,0.0,14,1.0
2644.0236338626937,0.0,14,1.0
2645.9014256693545,0.0,14,1.0
2645.1735165779646,0.0,14,1.0
2646.9674789291403,0.0,14,1.0
2646.609436032073,0.0,15,1.0
2645.2225043186627,0.0,15,1.0
2645.6316891062024,0.0,15,1.0
2644.461300548476,0.0,15,1.0
2645.098529037791,0.0,16,1.0
2643.9486463225203,0.0,16,1.0
2645.1692095962107,0.0,16,1.0
2644.047484310532,0.0,16,1.0
2642.979093785918,0.0,16,1.0
2641.5795125317363,0.0,17,1.0
2641.9057381758685,0.0,17,1.0
2642.1939805110314,0.0,17,1.0
2641.8875294044346,0.0,17,1.0
2642.128455526078,0.0,17,1.0
2641.3868017969817,0.0,18,1.0
2641.45766038651,0.0,18,1.0
2641.836032636461,0.0,18,1.0
2641.025126299385,0.0,18,1.0
2641.1863397058546,0.0,18,1.0
2640.455734361566,0.0,19,1.0
2639.3571220765825,0.0,19,1.0
2637.8667826074807,0.0,19,1.0
2637.918179713726,0.0,20,1.0
2671.377112816175,1.0,0,0.0
2670.510203339955,1.0,0,0.0
2670.0209924370038,1.0,0,0.0
2669.64849428825,1.0,0,0.0
2669.26858831386,1.0,1,0.0
2669.005943418819,1.0,1,0.0
2668.9057458465963,1.0,2,0.0
2669.134478294039,1.0,2,0.0
2669.0867658006027,1.0,2,0.0
2669.3314535781305,1.0,2,0.0
2669.272342697191,1.0,2,0.0
2669.09885698893,1.0,3,0.0
2667.944020148044,1.0,4,0.0
2667.616005133964,1.0,4,0.0
2668.156300947559,1.0,4,1.0
2668.769384311137,1.0,5,1.0
2668.364613301993,1.0,5,1.0
2668.2458449790965,1.0,5,1.0
2668.0109853033523,1.0,5,1.0
2667.5191297207866,1.0,5,1.0
2666.6335766874085,1.0,5,1.0
2666.630605522204,1.0,6,1.0
2666.3442407327584,1.0,6,1.0
2666.170700382455,1.0,6,1.0
2666.3058445749793,1.0,6,1.0
2666.3389296333326,1.0,7,1.0
2665.242423543508,1.0,7,1.0
2664.9316128192672,1.0,7,1.0
2664.606862767474,1.0,7,1.0
2664.5291126588654,1.0,7,1.0
2664.5234117691843,1.0,8,1.0
2664.510324347834,1.0,8,1.0
2664.6266879645855,1.0,8,1.0
2664.622838343601,1.0,9,1.0
2663.9856487766097,1.0,9,1.0
2663.3093193504565,1.0,9,1.0
2663.2871873456406,1.0,9,1.0
2663.0693991494854,1.0,9,1.0
2663.660999091255,1.0,10,1.0
2663.247448273353,1.0,10,1.0
2662.062299281581,1.0,10,1.0
2661.748687333439,1.0,10,1.0
2660.9893845884353,1.0,10,1.0
2660.498806754512,1.0,11,1.0
2659.732097370029,1.0,11,1.0
2659.1715092616196,1.0,11,1.0
2659.227212985761,1.0,11,1.0
2660.2091150225533,1.0,12,1.0
2660.1712789399103,1.0,12,1.0
2659.456532970682,1.0,13,1.0
2659.93908879666,1.0,13,1.0
2660.6861478302008,1.0,14,1.0
2660.6218361397778,1.0,14,1.0
2660.623610212041,1.0,15,1.0
2660.453653230473,1.0,15,1.0
2660.4533024942866,1.0,15,1.0
2660.220001506241,1.0,15,1.0
2659.8625605229804,1.0,16,1.0
2659.512973603668,1.0,16,1.0
2658.9441510733404,1.0,16,1.0
2658.3640026145995,1.0,16,1.0
2658.264324842714,1.0,16,1.0
2657.2639780976183,1.0,16,1.0
2657.834990868015,1.0,17,1.0
2657.3928847661105,1.0,17,1.0
2656.5628204805203,1.0,18,1.0
2655.751890196579,1.0,18,1.0
2654.1909560462805,1.0,19,1.0
2653.3800258964498,1.0,19,1.0
2651.4360541412043,1.0,20,1.0
2671.4349886171563,2.0,0,0.0
2670.901650975567,2.0,1,0.0
2670.0907209072993,2.0,1,0.0
2668.7044265461795,2.0,1,0.0
2669.235492577902,2.0,1,0.0
2669.662607037162,2.0,1,0.0
2668.565359592277,2.0,1,0.0
2667.2218595453464,2.0,2,0.0
2666.410929350651,2.0,2,0.0
2665.053309344252,2.0,2,0.0
2664.242379249393,2.0,3,0.0
2664.6622227921307,2.0,3,0.0
2663.851292575918,2.0,3,0.0
2662.1257412905643,2.0,3,0.0
2661.5509790284195,2.0,3,0.0
2658.1675396542496,2.0,4,0.0
2656.7812452931294,2.0,4,0.0
2655.39495093201,2.0,4,1.0
2654.584020715796,2.0,5,1.0
2652.706163309964,2.0,5,1.0
2651.1284133529066,2.0,6,1.0
2650.317483143522,2.0,6,1.0
2648.53250532537,2.0,6,1.0
2646.203984721782,2.0,7,1.0
2646.278895745373,2.0,7,1.0
2644.7087904879336,2.0,8,1.0
2646.1467161189476,2.0,8,1.0
2641.4303038033927,2.0,10,1.0
2640.001280368766,2.0,10,1.0
2640.3202290224754,2.0,10,1.0
2638.377566346887,2.0,11,1.0
2636.9912719857666,2.0,11,1.0
2638.132086577204,2.0,12,1.0
2636.2635166250247,2.0,12,1.0
2634.8772222639045,2.0,12,1.0
2636.38566954732,2.0,13,1.0
2635.6488480479065,2.0,13,1.0
2634.5793126254853,2.0,13,1.0
2633.3061682354014,2.0,13,1.0
2632.3180043139255,2.0,14,1.0
2634.106123660706,2.0,14,1.0
2634.7424844184816,2.0,14,1.0
2633.9315542022687,2.0,14,1.0
2634.748622224109,2.0,14,1.0
2634.810594061519,2.0,14,1.0
2633.4242997003994,2.0,14,1.0
2633.3508783872508,2.0,15,1.0
2632.2258287157156,2.0,15,1.0
2631.1023751626904,2.0,15,1.0
2632.8832409199986,2.0,15,1.0
2632.448064520395,2.0,15,1.0
2630.8001460873884,2.0,16,1.0
2630.787086291395,2.0,16,1.0
2630.8919566599748,2.0,16,1.0
2629.134532332128,2.0,17,1.0
2627.6642656562917,2.0,17,1.0
2629.228448598452,2.0,17,1.0
2629.83363151873,2.0,17,1.0
2630.17903135077,2.0,17,1.0
2631.802517061261,2.0,18,1.0
2630.991586845047,2.0,18,1.0
2630.3283866046004,2.0,18,1.0
2629.309894178725,2.0,18,1.0
2628.5098692800193,2.0,18,1.0
2629.0234664246627,2.0,18,1.0
2628.0227310811642,2.0,19,1.0
2628.6350343757763,2.0,19,1.0
2627.777222703325,2.0,19,1.0
2626.5630019654454,2.0,19,1.0
2628.7393553390684,2.0,20,1.0
2670.8769941230144,3.0,0,0.0
2670.064055792188,3.0,0,0.0
2669.945638439864,3.0,0,0.0
2669.7317419877636,3.0,1,0.0
2669.6071551608557,3.0,1,0.0
2669.527581153209,3.0,1,0.0
2669.5246700476846,3.0,1,0.0
2668.7137580741155,3.0,1,0.0
2668.6946130567862,3.0,2,0.0
2668.3571691425395,3.0,2,0.0
2668.3136617050886,3.0,2,0.0
2667.9661669555026,3.0,2,0.0
2668.181155882432,3.0,3,0.0
2668.3012758984014,3.0,3,0.0
2668.1969498553467,3.0,3,0.0
2668.523269933813,3.0,4,0.0
2668.053370861833,3.0,4,0.0
2668.2610424984987,3.0,4,1.0
2668.3443483720757,3.0,5,1.0
2668.3513167178016,3.0,5,1.0
2667.803540217346,3.0,5,1.0
2666.992610001951,3.0,5,1.0
2666.6126984381945,3.0,5,1.0
2666.5092523483218,3.0,5,1.0
